From the three repeated running experients, We can see method_c, which an auxiliary array and do not extra copy, outperform than the other two methods. The running time of these three methods: RT(method_a) > RT(method_b) > RT(method_c)


First time:

n	2^n	Method1(ms)	Method2(ms)	Method3(ms)

0	1	0	0	0
1	2	0	0	0
2	4	0	0	0
3	8	0	0	0
4	16	0	0	0
5	32	0	0	0
6	64	1	0	0
7	128	0	0	0
8	256	0	0	0
9	512	0	0	0
10	1024	0	0	0
11	2048	0	0	1
12	4096	1	1	0
13	8192	1	2	1
14	16384	3	3	2
15	32768	5	5	4
16	65536	13	11	10
17	131072	25	23	24
18	262144	51	50	31
19	524288	107	110	100
20	1048576	216	216	205



Second time:

n	2^n	Method1(ms)	Method2(ms)	Method3(ms)

0	1	1	0	0
1	2	1	0	0
2	4	0	0	0
3	8	0	0	0
4	16	0	1	0
5	32	0	0	0
6	64	0	0	0
7	128	0	0	0
8	256	0	0	0
9	512	0	0	0
10	1024	0	1	0
11	2048	1	0	0
12	4096	1	0	1
13	8192	2	1	1
14	16384	3	3	3
15	32768	5	5	4
16	65536	13	11	11
17	131072	25	23	23
18	262144	54	49	33
19	524288	111	106	100
20	1048576	219	216	206


Third time:

n	2^n	R.T(Method1/ms)	R.T(Method2/ms)	R.T.(Method3/ms)

0	1	1	0	0
1	2	0	0	0
2	4	0	0	0
3	8	0	0	0
4	16	0	0	0
5	32	0	1	0
6	64	0	0	0
7	128	1	0	0
8	256	0	0	0
9	512	0	0	0
10	1024	0	0	0
11	2048	0	0	1
12	4096	1	1	1
13	8192	2	1	1
14	16384	3	3	3
15	32768	5	6	3
16	65536	13	12	11
17	131072	25	24	23
18	262144	51	49	32
19	524288	110	104	99
20	1048576	225	219	205
